event_id,event_date,artist_name,artist_mbid,artist_sort_name,tour_name,venue_name,venue_id,city_name,state,state_code,country_name,country_code,lat,lng,song_count,songs,setlist_url
43489f2f,2025-12-31,Custodians,211be864-3ac9-4c0b-8475-4a5166c2bf9b,Custodians,,Cadieux Cafe,6bd43aa2,Detroit,Michigan,MI,United States,US,42.331427,-83.0457538,10,DELAM; Going Nowhere; Spy Song; Handout; Good Good Things; Go; ; Waitin' Around; Rock and Roll Music; AI Girlfriend,https://www.setlist.fm/setlist/custodians/2025/cadieux-cafe-detroit-mi-43489f2f.html
7b4172f0,2025-12-27,Trans‐Siberian Orchestra,d2b83114-af3e-4397-b570-10d81f1dd650,Trans‐Siberian Orchestra,TSO East 2025,Little Caesars Arena,13d55569,Detroit,Michigan,MI,United States,US,42.331427,-83.0457538,0,,https://www.setlist.fm/setlist/transsiberian-orchestra/2025/little-caesars-arena-detroit-mi-7b4172f0.html
634172f3,2025-12-27,Trans‐Siberian Orchestra,d2b83114-af3e-4397-b570-10d81f1dd650,Trans‐Siberian Orchestra,TSO East 2025,Little Caesars Arena,13d55569,Detroit,Michigan,MI,United States,US,42.331427,-83.0457538,26,Night Enchanted; Winter Palace; The Lost Christmas Eve; O Come All Ye Faithful / O Holy Night; Good King Joy; Christmas Dreams; Christmas Eve (Sarajevo 12/24); Christmas Canon Rock; What Child Is This?; Music Box Blues; First Snow; Promises to Keep; This Christmas Day; Wizards in Winter; An Angel's Share / Drum Solo; A Mad Russian's Christmas; Sleep; Requiem (The Fifth); The Dreams of Candlelight; Beethoven; This Is Who You Are; A Last Illusion; Believe; O Fortuna; Wish Liszt (Toy Shop Madness); Christmas Eve (Sarajevo 12/24) (Reprise),https://www.setlist.fm/setlist/transsiberian-orchestra/2025/little-caesars-arena-detroit-mi-634172f3.html
3b48d8ec,2025-12-27,Winds of Neptune,c7b35ff6-c177-43c3-942f-6204871fdff2,Winds of Neptune,,Bowlero,63d02e63,Royal Oak,Michigan,MI,United States,US,42.4894801,-83.1446485,5,U.S.L.; Queen of Sumatra; La Cacciata; Gas Giant; So Sayeth the Mouth of the Void,https://www.setlist.fm/setlist/winds-of-neptune/2025/bowlero-royal-oak-mi-3b48d8ec.html
b4fe106,2025-12-26,J. Navarro & the Traitors,afc1cb3b-0808-47ba-b806-eb7812038d08,J. Navarro & the Traitors,,The Magic Stick,73d3dab9,Detroit,Michigan,MI,United States,US,42.331427,-83.0457538,13,Chaos Girl; For the Broken; Casket; Traitors Stomp; World for Us; Realities; Right Apart; Streetlights; Holes; No Control; Foundation; Let Go; One Hand,https://www.setlist.fm/setlist/j-navarro-and-the-traitors/2025/the-magic-stick-detroit-mi-b4fe106.html
4b4a1b82,2025-12-26,zastava,0e8ab1fc-1dc2-4668-990e-5b72127a6e93,zastava,,Jumbo's Bar,43d54727,Detroit,Michigan,MI,United States,US,42.331427,-83.0457538,7,Running; Truth; Station; ; Blaine; Senseless; Buildings,https://www.setlist.fm/setlist/zastava/2025/jumbos-bar-detroit-mi-4b4a1b82.html
3b4d342c,2025-12-26,Nethergate,312f9f28-0a32-41cf-b165-4375fae3dccb,Nethergate,,Paris Bar,4bde6f76,Hamtramck,Michigan,MI,United States,US,42.3928151,-83.0496438,0,,https://www.setlist.fm/setlist/nethergate/2025/paris-bar-hamtramck-mi-3b4d342c.html
34fe107,2025-12-26,Mustard Plug,70a692bb-dbd3-440a-af7b-c82e5e1389b2,Mustard Plug,,The Magic Stick,73d3dab9,Detroit,Michigan,MI,United States,US,42.331427,-83.0457538,20,"Someday, Right Now; Aye Aye Aye; Box; The All-Nighter; Vampire; Go; Yesterday; Fall Apart; Hit Me! Hit Me!; Why Does It Have to Be So Hard?; You; Waiting Room; The Park; Mendoza; Real Rat Bastard; On and On; Last Christmas / Careless Whisper; Brain on Ska; Mr. Smiley; Beer (Song)",https://www.setlist.fm/setlist/mustard-plug/2025/the-magic-stick-detroit-mi-34fe107.html
34d55df,2025-12-26,Syphoned,99157735-2e7c-4c43-9338-8897a672712f,Syphoned,,Paris Bar,4bde6f76,Hamtramck,Michigan,MI,United States,US,42.3928151,-83.0496438,5,When the Storm Calms; Convergence; Thought; End of a Time; Eulogy,https://www.setlist.fm/setlist/syphoned/2025/paris-bar-hamtramck-mi-34d55df.html
334d342d,2025-12-26,Condition Critical,57019edc-e966-44da-9ca3-d36dc44b0dcf,Condition Critical,,Paris Bar,4bde6f76,Hamtramck,Michigan,MI,United States,US,42.3928151,-83.0496438,0,,https://www.setlist.fm/setlist/condition-critical/2025/paris-bar-hamtramck-mi-334d342d.html
2b4d342e,2025-12-26,Manic Outburst,49ad7af7-17fc-437c-802e-555b1c509acf,Manic Outburst,,Paris Bar,4bde6f76,Hamtramck,Michigan,MI,United States,US,42.3928151,-83.0496438,0,,https://www.setlist.fm/setlist/manic-outburst/2025/paris-bar-hamtramck-mi-2b4d342e.html
234d3423,2025-12-26,Syphoned,99157735-2e7c-4c43-9338-8897a672712f,Syphoned,,Paris Bar,4bde6f76,Hamtramck,Michigan,MI,United States,US,42.3928151,-83.0496438,0,,https://www.setlist.fm/setlist/syphoned/2025/paris-bar-hamtramck-mi-234d3423.html
1b4fe104,2025-12-26,Devon Kay & the Solutions,6bfb5825-23cd-49d1-a6b4-e1b8b1dbf307,Devon Kay & the Solutions,,The Magic Stick,73d3dab9,Detroit,Michigan,MI,United States,US,42.331427,-83.0457538,0,,https://www.setlist.fm/setlist/devon-kay-and-the-solutions/2025/the-magic-stick-detroit-mi-1b4fe104.html
134fe1f9,2025-12-26,The Boy Detective,8e24c0d7-53aa-4504-8eb2-16dd85969b1a,"Boy Detective, The",,The Magic Stick,73d3dab9,Detroit,Michigan,MI,United States,US,42.331427,-83.0457538,12,"I Renounce Verdukianism!; The World Must Be Flat (Because You've Fallen Off the Face of It); It's Not About the Horniness, It's About the Lonliness; Is Alfredo There?; T.A.N.G.C.; Good Year; American Farts; Date Night!; Some Drakkar Noir Wearing Dexter With A Boner; 2 Dad 2 Worse; Beth Truss; I Did Get Scabies Once, So I Guess That's Pretty Punk",https://www.setlist.fm/setlist/the-boy-detective/2025/the-magic-stick-detroit-mi-134fe1f9.html
134ba1a9,2025-12-23,Mannheim Steamroller,922a18b1-0aba-4868-8f38-2aa4f324fe16,Mannheim Steamroller,2025 Christmas Tour,Fox Theatre,33d63045,Detroit,Michigan,MI,United States,US,42.331427,-83.0457538,4,Faeries; Hark! The Herald Angels Sing; Greensleeves; Good King Wenceslas,https://www.setlist.fm/setlist/mannheim-steamroller/2025/fox-theatre-detroit-mi-134ba1a9.html
3b4de0dc,2025-12-20,FinalBossFight!,a4c2a256-b5ee-4589-874b-065155c56533,FinalBossFight!,,The Sanctuary,33d224a9,Hamtramck,Michigan,MI,United States,US,42.3928151,-83.0496438,0,,https://www.setlist.fm/setlist/finalbossfight/2025/the-sanctuary-hamtramck-mi-3b4de0dc.html
3b4dc444,2025-12-20,Never Ending Game,eaf440f3-0fc2-4059-92a6-8792723a20c1,Never Ending Game,Just Another Holiday,Tangent Gallery,13d4013d,Detroit,Michigan,MI,United States,US,42.331427,-83.0457538,0,,https://www.setlist.fm/setlist/never-ending-game/2025/tangent-gallery-detroit-mi-3b4dc444.html
3b4dc430,2025-12-20,D Bloc,fd59807b-482d-44cc-a3ea-51f69b4d681c,D Bloc,,Tangent Gallery,13d4013d,Detroit,Michigan,MI,United States,US,42.331427,-83.0457538,0,,https://www.setlist.fm/setlist/d-bloc/2025/tangent-gallery-detroit-mi-3b4dc430.html
334dc439,2025-12-20,Invoke,dcf4d324-df74-4b33-abe3-71b1e837255a,Invoke,,Tangent Gallery,13d4013d,Detroit,Michigan,MI,United States,US,42.331427,-83.0457538,0,,https://www.setlist.fm/setlist/invoke/2025/tangent-gallery-detroit-mi-334dc439.html
2b4dc43e,2025-12-20,W.M.D.,c35329ce-0b12-4b44-b145-85a0746f15c5,WMD,,Tangent Gallery,13d4013d,Detroit,Michigan,MI,United States,US,42.331427,-83.0457538,0,,https://www.setlist.fm/setlist/wmd/2025/tangent-gallery-detroit-mi-2b4dc43e.html
2b4dc43a,2025-12-20,All Out War,57f496a2-d22d-4a89-9b04-c9ee3812c781,All Out War,,Tangent Gallery,13d4013d,Detroit,Michigan,MI,United States,US,42.331427,-83.0457538,0,,https://www.setlist.fm/setlist/all-out-war/2025/tangent-gallery-detroit-mi-2b4dc43a.html
2b4dc436,2025-12-20,The Sissy Boys,c7674eea-29a1-4eb8-899a-e2e62346089b,The Sissy Boys,,Tangent Gallery,13d4013d,Detroit,Michigan,MI,United States,US,42.331427,-83.0457538,0,,https://www.setlist.fm/setlist/the-sissy-boys/2025/tangent-gallery-detroit-mi-2b4dc436.html
234dc43f,2025-12-20,Anhedonist,d9f54358-687b-41b8-be59-ddc3b9f70836,Anhedonist,,Tangent Gallery,13d4013d,Detroit,Michigan,MI,United States,US,42.331427,-83.0457538,0,,https://www.setlist.fm/setlist/anhedonist/2025/tangent-gallery-detroit-mi-234dc43f.html
234dc423,2025-12-20,ANHEDONIA,8e2f72b2-698c-46f6-ac57-cb864d60589a,Anhedonia,,Tangent Gallery,13d4013d,Detroit,Michigan,MI,United States,US,42.331427,-83.0457538,0,,https://www.setlist.fm/setlist/anhedonia/2025/tangent-gallery-detroit-mi-234dc423.html
1b4de9e8,2025-12-20,GRiZ,c62327d3-df81-46ce-bd94-5bd3040f8699,GRiZ,,Masonic Temple Theatre,2bd774ba,Detroit,Michigan,MI,United States,US,42.331427,-83.0457538,0,,https://www.setlist.fm/setlist/griz/2025/masonic-temple-theatre-detroit-mi-1b4de9e8.html
33400c6d,2025-12-19,Magic Bus,bf4433a8-bd95-40f7-95e8-9d7e986f71b2,Magic Bus,,The Token Lounge,4bd3db0a,Westland,Michigan,MI,United States,US,42.324204,-83.400211,0,,https://www.setlist.fm/setlist/magic-bus/2025/the-token-lounge-westland-mi-33400c6d.html
634dd293,2025-12-18,GRiZ,c62327d3-df81-46ce-bd94-5bd3040f8699,GRiZ,,Russell Industrial Center,7bd3da38,Detroit,Michigan,MI,United States,US,42.331427,-83.0457538,0,,https://www.setlist.fm/setlist/griz/2025/russell-industrial-center-detroit-mi-634dd293.html
6b4c2ac2,2025-12-16,Mirror Mask,54ee54a2-446e-4279-9aff-d38fc0fe785f,Mirror Mask,,The Magic Stick,73d3dab9,Detroit,Michigan,MI,United States,US,42.331427,-83.0457538,10,Black Hole Baby; Concubine; Slick Shit; No. 1 Fan; Anymore; Dust; Bleed U Dry; Feel Your Face; Under The Gun; Chaotic Slutty,https://www.setlist.fm/setlist/mirror-mask/2025/the-magic-stick-detroit-mi-6b4c2ac2.html
43415fcb,2025-12-16,The Gilmour Project,6ff03bf4-44f8-4554-94b8-602df299c067,"Gilmour Project, The",50th Anniversary of 'Wish You Were Here',Royal Oak Music Theatre,7bd63a28,Royal Oak,Michigan,MI,United States,US,42.4894801,-83.1446485,0,,https://www.setlist.fm/setlist/the-gilmour-project/2025/royal-oak-music-theatre-royal-oak-mi-43415fcb.html
34c0d93,2025-12-16,GRiZ,c62327d3-df81-46ce-bd94-5bd3040f8699,GRiZ,,Majestic Theatre,3d63def,Detroit,Michigan,MI,United States,US,42.331427,-83.0457538,26,"Is There Any Love; MEGAZORD; Burn Up the Floor; FUNKONAUT; BLASTA; Blessed; DTW to DIA (The Travels of Mr. B); Good Times Roll; The Anthem; Gold; Ease Your Mind; Daily Routine; Smash the Funk; A Fine Way to Die; Harmony; ; ; Come Together; In My Mind; ; Volume; Way in My Brain; ; Color of Your Soul; It Gets Better; Hybrid Minds, Tom Cane - Not Alone (GRiZ Remix)",https://www.setlist.fm/setlist/griz/2025/majestic-theatre-detroit-mi-34c0d93.html
