event_id,event_date,artist_name,artist_mbid,artist_sort_name,tour_name,venue_name,venue_id,city_name,state,state_code,country_name,country_code,lat,lng,song_count,songs,setlist_url
734d1209,2025-12-31,Dwayne Gretzky,cc8a8a1f-ea9d-4816-8d7b-ffb18b130653,Dwayne Gretzky,,History,1bd0e190,Toronto,Ontario,ON,Canada,CA,43.700113788,-79.416304194,35,"1999; Walk of Life; Heart of Glass; Don't Stop Me Now; You Sexy Thing; I'm Still Standing; Automatic; Dancing in the Dark; Walking on Broken Glass; Alone; How Will I Know; In Your Eyes; River Deep, Mountain High; The Power of Love; Jump (For My Love); The Best; Take On Me; Sledgehammer; Livin' on a Prayer; Auld Lang Syne; You Can Call Me Al; Gimme! Gimme! Gimme! (A Man After Midnight); Conga; Killing Me Softly With His Song; Kiss From a Rose; Sabotage; Rosanna; Baba O'Riley; Changes; 99 Luftballons; I'm Gonna Be (500 Miles); Under Pressure; I Will Always Love You; Home for a Rest; The Weight",https://www.setlist.fm/setlist/dwayne-gretzky/2025/history-toronto-on-canada-734d1209.html
5b4d175c,2025-12-31,Kalisway,a73b34c9-5df4-49d5-95bb-2e7ce104aec0,Kalisway,,Harbourfront Centre,4bd6cfde,Toronto,Ontario,ON,Canada,CA,43.700113788,-79.416304194,0,,https://www.setlist.fm/setlist/kalisway/2025/harbourfront-centre-toronto-on-canada-5b4d175c.html
534d6b9d,2025-12-31,Alessia Cara,97e69730-3791-423b-9770-287261588854,"Cara, Alessia",Love & Hyperbole Tour,Garden Square,63d542a3,Brampton,Ontario,ON,Canada,CA,43.683413485,-79.766326996,0,,https://www.setlist.fm/setlist/alessia-cara/2025/garden-square-brampton-on-canada-534d6b9d.html
4b4d175e,2025-12-31,cootie catcher,3559a88a-e47f-461a-b63d-9a626e85c1eb,cootie catcher,,Harbourfront Centre,4bd6cfde,Toronto,Ontario,ON,Canada,CA,43.700113788,-79.416304194,0,,https://www.setlist.fm/setlist/cootie-catcher/2025/harbourfront-centre-toronto-on-canada-4b4d175e.html
4b4d073a,2025-12-31,Doghouse Orchestra,3dac924d-11e2-483b-9ef1-3bd353137b59,Doghouse Orchestra,,Horseshoe Tavern,4bd63b0a,Toronto,Ontario,ON,Canada,CA,43.700113788,-79.416304194,0,,https://www.setlist.fm/setlist/doghouse-orchestra/2025/horseshoe-tavern-toronto-on-canada-4b4d073a.html
434d175f,2025-12-31,LU KALA,e0ed14a2-89e4-43f8-b173-ac0d4b4ff77b,"KALA, LU",,Harbourfront Centre,4bd6cfde,Toronto,Ontario,ON,Canada,CA,43.700113788,-79.416304194,10,Who's Gonna; No Smoke; Cry Baby; Lottery; Believe; Criminal; Nothing But Love; Pretty Girl Era; Pretty Girl Era; Hotter Now,https://www.setlist.fm/setlist/lu-kala/2025/harbourfront-centre-toronto-on-canada-434d175f.html
434d073b,2025-12-31,The Sadies,72f7495f-d40f-4c96-93bb-7fe1c9b23cbb,"Sadies, The",,Horseshoe Tavern,4bd63b0a,Toronto,Ontario,ON,Canada,CA,43.700113788,-79.416304194,0,,https://www.setlist.fm/setlist/the-sadies/2025/horseshoe-tavern-toronto-on-canada-434d073b.html
34d556b,2025-12-31,The OverKillers,dc9d28b3-5b1d-4e31-9a94-51c0c5fa1c70,"OverKillers, The",,The Pilot Tavern,7bd512c4,Toronto,Ontario,ON,Canada,CA,43.700113788,-79.416304194,26,Enterlude; When You Were Young; Jenny Was a Friend of Mine; Smile Like You Mean It; Runaways; Don't Look Back in Anger; Read My Mind; For Reasons Unknown; My Own Soul's Warning; Somebody Told Me; Spaceman; Just Another Girl; The Way It Was; A Little Respect; Caution; Miss Atomic Bomb; In Another Life; A Dustland Fairytale; Born to Run; Dying Breed; Human; Auld Lang Syne; Mr. Brightside; Change Your Mind; All These Things That I've Done; Exitlude,https://www.setlist.fm/setlist/the-overkillers/2025/the-pilot-tavern-toronto-on-canada-34d556b.html
734c3a99,2025-12-30,J. P. Cormier,caa158fe-c218-45bc-825d-a6cf0d37e445,"Cormier, J. P.",,Hugh's Room Live,13d271ed,Toronto,Ontario,ON,Canada,CA,43.700113788,-79.416304194,0,,https://www.setlist.fm/setlist/j-p-cormier/2025/hughs-room-live-toronto-on-canada-734c3a99.html
3b4d10e0,2025-12-30,Peter Dreams,377752eb-f368-4030-91a8-2b9381ab718e,Peter Dreams,,Paradise Theatre,bd3c576,Toronto,Ontario,ON,Canada,CA,43.700113788,-79.416304194,3,Follower's Farewell; ; Keep Me Free,https://www.setlist.fm/setlist/peter-dreams/2025/paradise-theatre-toronto-on-canada-3b4d10e0.html
