"city","week_date","year","month","chart_rank","demand_score","song","artist","track_id","artist_id","artist_genres","primary_genre"
"Montreal","2025-01-02",2025,"Jan",1,100,"Die With A Smile","Lady Gaga, Bruno Mars","2plbrEY59IikOBgBGLjaoe","1HY2Jd0NmPuamShAr6KMms","pop, dance pop, electropop","pop"
"Montreal","2025-01-02",2025,"Jan",2,99,"That’s So True","Gracie Abrams","7ne4VBA60CxGM75vw0EYad","4tuJ0bMpJh08umKkEXKUI5","pop, indie pop, singer-songwriter","pop"
"Montreal","2025-01-02",2025,"Jan",3,98,"APT.","ROSÉ, Bruno Mars","5vNRhkKd0yEAg8suGBpjeY","3eVa5w3URK5duf6eyVDbu9","k-pop, pop","k-pop"
"Montreal","2025-01-02",2025,"Jan",4,97,"A Bar Song (Tipsy)","Shaboozey","2FQrifJ1N335Ljm3TjTVVf","3y2cIKLjiOlp1Np37WiUdH","country, country rap, americana","country"
"Montreal","2025-01-02",2025,"Jan",5,96,"Beautiful Things","Benson Boone","3xkHsmpQCBMytMJNiDf3Ii","22wbnEMDvgVIAGdFeek6ET","pop, pop rock","pop"
"Montreal","2025-01-02",2025,"Jan",6,95,"BIRDS OF A FEATHER","Billie Eilish","6dOtVTDdiauQNBQEDOtlAB","6qqNVTkY8uBg9cP3Jd7DAH","pop, art pop, indie pop","pop"
"Montreal","2025-01-02",2025,"Jan",7,94,"Lose Control","Teddy Swims","17phhZDn6oGtzMe56NuWvj","33qOK5uJ8AR2xuQQAhHump","r&b, soul, pop","r&b"
"Montreal","2025-01-02",2025,"Jan",8,93,"Timeless (feat Playboi Carti)","The Weeknd, Playboi Carti","0FIDCNYYjNvPVimz5icugS","1Xyo4u8uXC1ZmMpatF05PJ","r&b, synth pop, pop","r&b"
"Montreal","2025-01-02",2025,"Jan",9,92,"I Had Some Help (Feat. Morgan Wallen)","Post Malone, Morgan Wallen","5IZXB5IKAD2qlvTPJYDCFB","246dkjvS1zLTtiykXe5h60","hip-hop, pop, country rap","hip-hop"
"Montreal","2025-01-02",2025,"Jan",10,91,"Espresso","Sabrina Carpenter","2HRqTpkrJO5ggZyyK6NPWz","74KM79TiuVKeVCqs8QtB0B","pop, dance pop","pop"
"Montreal","2025-01-02",2025,"Jan",11,90,"Messy","Lola Young","3SKH53SPQbEnZR4cJPVaz2","67FB4n52MgexGQIG8s0yUH","pop, indie pop, soul","pop"
"Montreal","2025-01-02",2025,"Jan",12,89,"Good Luck, Babe!","Chappell Roan","0WbMK4wrZ1wFSty9F7FCgu","7GlBOeep6PqTfFi59PTUUN","pop, art pop, synth pop","pop"
"Montreal","2025-01-02",2025,"Jan",13,88,"Austin (Boots Stop Workin')","Dasha","2uqYupMHANxnwgeiXTZXzd","7Ez6lTtSMjMf2YSYpukP1I","country, pop country","country"
"Montreal","2025-01-02",2025,"Jan",14,87,"Sailor Song","Gigi Perez","21IYMdzTrzSe191Cy5eMap","1iCnM8foFssWlPRLfAbIwo","indie pop, folk pop, singer-songwriter","indie pop"
"Montreal","2025-01-02",2025,"Jan",15,86,"Stick Season","Noah Kahan","0mflMxspEfB0VbI1kyLiAv","2RQXRUsr4IW1f3mKyKsy4B","folk rock, indie folk, singer-songwriter","folk rock"
"Montreal","2025-01-02",2025,"Jan",16,85,"Too Sweet","Hozier","76JKIsdKrAfWUMjaA0u7v5","2FXC3k01G6Gw61bmprjgqS","indie rock, folk rock, blues rock","indie rock"
"Montreal","2025-01-02",2025,"Jan",17,84,"Love Somebody","Morgan Wallen","5mAGsieQbw180sYdL3RMKk","4oUHIQIBe0LHzYfvXNW4QM","country, country pop, bro-country","country"
"Montreal","2025-01-02",2025,"Jan",18,83,"luther (with sza)","Kendrick Lamar, SZA","2CGNAOSuO1MEFCbBRgUzjd","2YZyLoL8N0Wb9xBt1NhZWg","hip-hop, west coast rap, conscious rap","hip-hop"
"Montreal","2025-01-02",2025,"Jan",19,82,"La ziguezon","La Bottine Souriante","","","",""
"Montreal","2025-01-02",2025,"Jan",20,81,"Taste","Sabrina Carpenter","5G2f63n7IPVPPjfNIGih7Q","74KM79TiuVKeVCqs8QtB0B","pop, dance pop","pop"
"Montreal","2025-01-02",2025,"Jan",21,80,"Stargazing","Myles Smith","3Vr3zh0r7ALn8VLqCiRR10","3bO19AOone0ubCsfDXDtYt","pop, indie pop, soul pop","pop"
"Montreal","2025-01-02",2025,"Jan",22,79,"Last Night","Morgan Wallen","583dMdiUquLMenarTp7PQm","4oUHIQIBe0LHzYfvXNW4QM","country, country pop, bro-country","country"
"Montreal","2025-01-02",2025,"Jan",23,78,"I Remember Everything (feat. Kacey Musgraves)","Zach Bryan, Kacey Musgraves","4KULAymBBJcPRpk1yO4dOG","40ZNYROS4zLfyyBSs2PGe2","country, americana, folk","country"
"Montreal","2025-01-02",2025,"Jan",24,77,"I Don't Wanna Wait","David Guetta, OneRepublic","","","",""
"Montreal","2025-01-02",2025,"Jan",25,76,"Please Please Please","Sabrina Carpenter","2tHwzyyOLoWSFqYNjeVMzj","74KM79TiuVKeVCqs8QtB0B","pop, dance pop","pop"
"Montreal","2025-01-02",2025,"Jan",26,75,"Don't Stop Believin' (2022 Remaster)","Journey","5RKQ5NdjSh2QzD4MaunT91","0rvjqX7ttXeg3mTy8Xscbt","rock, classic rock, arena rock","rock"
