event_id,event_date,artist_name,artist_mbid,artist_sort_name,tour_name,venue_name,venue_id,city_name,state,state_code,country_name,country_code,lat,lng,song_count,songs,setlist_url
2b4fac9e,2025-12-31,April Wine,78761837-4b00-4935-b7be-601697900e66,April Wine,,Grey Eagle Resort & Casino,23d44c13,Calgary,Alberta,AB,Canada,CA,51.050112282,-114.085285152,0,,https://www.setlist.fm/setlist/april-wine/2025/grey-eagle-resort-and-casino-calgary-ab-canada-2b4fac9e.html
3b4c3460,2025-12-21,Telstar Drugs,bafb9c27-72a3-4d47-93cc-a97281b6e996,Telstar Drugs,,Private Venue,33d35475,Calgary,Alberta,AB,Canada,CA,51.050112282,-114.085285152,6,Greyed Rainbow; Pressed; Unglued; Pulley; Young One; Gamelan,https://www.setlist.fm/setlist/telstar-drugs/2025/private-venue-calgary-ab-canada-3b4c3460.html
3b4dd474,2025-12-20,Chixdiggit!,4ce7c52b-f532-41c4-86ec-34f18b2a37c0,Chixdiggit,,Modern Love,2bd1f022,Calgary,Alberta,AB,Canada,CA,51.050112282,-114.085285152,10,Spanish Fever; Silent Night; (I Feel Like) (Gerry) Cheevers (Stitch Marks on My Heart); Good King Wenceslas; I Drove the Coquihalla; Gettin' Air; You're Pretty Good; Sikome Beach; I Wanna Hump You/Wish You a Merry Christmas; Chupacabras,https://www.setlist.fm/setlist/chixdiggit/2025/modern-love-calgary-ab-canada-3b4dd474.html
34e0d57,2025-12-19,Air Supply,df9a1914-7fad-4900-bdd4-d7811712a2a8,Air Supply,50th Anniversary,Grey Eagle Resort & Casino,23d44c13,Calgary,Alberta,AB,Canada,CA,51.050112282,-114.085285152,0,,https://www.setlist.fm/setlist/air-supply/2025/grey-eagle-resort-and-casino-calgary-ab-canada-34e0d57.html
634526c3,2025-12-17,Mac DeMarco,f2492c31-54a8-4347-a1fc-f81f72873bbf,"DeMarco, Mac",2025 World Tour,"MacEwan Hall, University of Calgary",3d4615f,Calgary,Alberta,AB,Canada,CA,51.050112282,-114.085285152,24,Shining; For the First Time; Sweeter; On the Level; Phantom; Salad Days; Nightmare; 20191009 I Like Her; Rock and Roll; Still Beating; Passing Out Pieces; On the Square; Heart to Heart; Knockin; Ode to Viceroy; Another One; Rooster; Freaking Out the Neighborhood; Holy; Moonlight on the River; My Kind of Woman; Chamber of Reflection; Ô Canada; Nobody,https://www.setlist.fm/setlist/mac-demarco/2025/macewan-hall-university-of-calgary-calgary-ab-canada-634526c3.html
134db131,2025-12-13,Sun Kil Moon,ef2c6449-d02b-415b-ad8c-c14c08266552,Sun Kil Moon,,Commonwealth Bar & Stage,2bd484ea,Calgary,Alberta,AB,Canada,CA,51.050112282,-114.085285152,15,Christmas in New Orleans; Somehow the Wonder of Life Prevails; Mother and Daughter; I Watched the Film the Song Remains the Same; Carry Me Ohio; Young Love; Richard Ramirez Died Today of Natural Causes; Somewhere; Calgary; I Know It's Pathetic but That Was the Greatest Night of My Life; I Can't Live Without My Mother's Love; Have You Forgotten; Dogs; A Dream of Winter; Alesund,https://www.setlist.fm/setlist/sun-kil-moon/2025/commonwealth-bar-and-stage-calgary-ab-canada-134db131.html
34c516f,2025-12-10,The Royal Foundry,e0c50b71-7cbe-45bf-8bba-e7cce93995a8,"Royal Foundry, The",,The Palace Theatre,6bd2e222,Calgary,Alberta,AB,Canada,CA,51.050112282,-114.085285152,6,Rewind; Listen to the Beat; Famous; I Give Up; I Don't Wanna Talk; Little High Little Low,https://www.setlist.fm/setlist/the-royal-foundry/2025/the-palace-theatre-calgary-ab-canada-34c516f.html
334c5041,2025-12-10,Hotel Mira,f3235b39-4559-43bb-94f0-ac7dbadd2a28,Hotel Mira,Pity Party North American Tour,The Palace Theatre,6bd2e222,Calgary,Alberta,AB,Canada,CA,51.050112282,-114.085285152,18,America's Favourite Pastime; King of the World; This Could Be It for Me; Runner; Vampire; Jungle; Alone in America; Right Back Where I Was; Son-in-Law; Made for This; Cowboy; Re: Valentine's Day; Making Progress; Dancing With the Moonlight; Speaking Off the Record; Don't Look Back in Anger; Fever Pitch; Southern Comforting,https://www.setlist.fm/setlist/hotel-mira/2025/the-palace-theatre-calgary-ab-canada-334c5041.html
34e012b,2025-12-08,Lauryn Hill,e8414012-4a1c-4ad4-be5e-fc55294e28cc,"Hill, Lauryn",Artist in Residence,Southern Alberta Jubilee Auditorium,63d62ea7,Calgary,Alberta,AB,Canada,CA,51.050112282,-114.085285152,16,Intro; Everything Is Everything; When It Hurts So Bad; Final Hour; Lost Ones; Ex-Factor; To Zion; Superstar; Can't Take My Eyes Off You; ; ; ; Killing Me Softly With His Song; Doo Wop (That Thing); Ready or Not; Fu-Gee-La,https://www.setlist.fm/setlist/lauryn-hill/2025/southern-alberta-jubilee-auditorium-calgary-ab-canada-34e012b.html
2b4c64de,2025-12-08,Lauryn Hill,e8414012-4a1c-4ad4-be5e-fc55294e28cc,"Hill, Lauryn",Artist in Residence,Southern Alberta Jubilee Auditorium,63d62ea7,Calgary,Alberta,AB,Canada,CA,51.050112282,-114.085285152,0,,https://www.setlist.fm/setlist/lauryn-hill/2025/southern-alberta-jubilee-auditorium-calgary-ab-canada-2b4c64de.html
