event_id,event_date,artist_name,artist_mbid,artist_sort_name,tour_name,venue_name,venue_id,city_name,state,state_code,country_name,country_code,lat,lng,song_count,songs,setlist_url
b4d793a,2025-12-31,DJ Prenup,7e88da5f-bf0e-47d1-949f-aa446dfad656,DJ Prenup,,T-Mobile Arena,13d5e579,Las Vegas,Nevada,NV,United States,US,36.1749705,-115.137223,0,,https://www.setlist.fm/setlist/dj-prenup/2025/t-mobile-arena-las-vegas-nv-b4d793a.html
b4d05fe,2025-12-31,T‐Pain,ce55e49a-32f4-4757-9849-bf04d06d5fcc,T‐Pain,,The Cosmopolitan of Las Vegas,73d0d2c1,Las Vegas,Nevada,NV,United States,US,36.1749705,-115.137223,0,,https://www.setlist.fm/setlist/tpain/2025/the-cosmopolitan-of-las-vegas-las-vegas-nv-b4d05fe.html
b4d05f6,2025-12-31,Lenny Kravitz,0ef3f425-9bd2-4216-9dd2-219d2fe90f1f,"Kravitz, Lenny",,Dolby Live at Park MGM,43d0dbb3,Las Vegas,Nevada,NV,United States,US,36.1749705,-115.137223,0,,https://www.setlist.fm/setlist/lenny-kravitz/2025/dolby-live-at-park-mgm-las-vegas-nv-b4d05f6.html
7b4c32e0,2025-12-31,DJ Cassidy,6aec87f4-c4be-41a6-8ef4-2b5955261481,DJ Cassidy,,The Cosmopolitan of Las Vegas,73d0d2c1,Las Vegas,Nevada,NV,United States,US,36.1749705,-115.137223,12,"We Trying to Stay Alive; Bring Em Out; Ante Up (Remix); Look at Me Now; Live Your Life; Pass the Courvoisier, Part II; Hips Don't Lie; Whatever You Like; Put Your Hands Where My Eyes Could See; Maria Maria; No Woman, No Cry; Woo Hah!! Got You All in Check",https://www.setlist.fm/setlist/dj-cassidy/2025/the-cosmopolitan-of-las-vegas-las-vegas-nv-7b4c32e0.html
7b4c324c,2025-12-31,Demi Lovato,faf4cefb-036c-4c88-b93a-5b03dd0a0e6b,"Lovato, Demi",,The Cosmopolitan of Las Vegas,73d0d2c1,Las Vegas,Nevada,NV,United States,US,36.1749705,-115.137223,3,Sorry Not Sorry; Heart Attack; Sorry to Myself,https://www.setlist.fm/setlist/demi-lovato/2025/the-cosmopolitan-of-las-vegas-las-vegas-nv-7b4c324c.html
7b41da28,2025-12-31,Kings of Leon,6ffb8ea9-2370-44d8-b678-e9237bbd347b,Kings of Leon,Kings of Leon: Live in Las Vegas,The Venetian Theatre,53d5e70d,Las Vegas,Nevada,NV,United States,US,36.1749705,-115.137223,23,To Space; Taper Jean Girl; Four Kicks; Find Me; On Call; Manhattan; Revelry; Waste a Moment; Supersoaker; Pyro; Molly's Chambers; Mustang; Back Down South; Beautiful War; Arizona; The Wolf; Use Somebody; Closer; Seen; Black Thumbnail; The Bucket; Knocked Up; Sex on Fire,https://www.setlist.fm/setlist/kings-of-leon/2025/the-venetian-theatre-las-vegas-nv-7b41da28.html
734d62b1,2025-12-31,Jess Glynne,89ccd7c3-b4f8-45a6-a53f-e903eaaf96be,"Glynne, Jess",,The Cosmopolitan of Las Vegas,73d0d2c1,Las Vegas,Nevada,NV,United States,US,36.1749705,-115.137223,1,Hold My Hand,https://www.setlist.fm/setlist/jess-glynne/2025/the-cosmopolitan-of-las-vegas-las-vegas-nv-734d62b1.html
734c32ed,2025-12-31,4 Non Blondes,efef848b-63e4-4323-8ef7-69a48fbdd51d,4 Non Blondes,,The Cosmopolitan of Las Vegas,73d0d2c1,Las Vegas,Nevada,NV,United States,US,36.1749705,-115.137223,1,What's Up?,https://www.setlist.fm/setlist/4-non-blondes/2025/the-cosmopolitan-of-las-vegas-las-vegas-nv-734c32ed.html
734c32e5,2025-12-31,HUNTR/X,dc7fd424-6ba4-45cc-b407-7716c7bb3605,HUNTRIX,,The Cosmopolitan of Las Vegas,73d0d2c1,Las Vegas,Nevada,NV,United States,US,36.1749705,-115.137223,1,Golden,https://www.setlist.fm/setlist/huntrx/2025/the-cosmopolitan-of-las-vegas-las-vegas-nv-734c32e5.html
734c32dd,2025-12-31,The All‐American Rejects,09885b8e-f235-4b80-a02a-055539493173,"All‐American Rejects, The",,The Cosmopolitan of Las Vegas,73d0d2c1,Las Vegas,Nevada,NV,United States,US,36.1749705,-115.137223,3,"Move Along; Dirty Little Secret; Easy Come, Easy Go",https://www.setlist.fm/setlist/the-allamerican-rejects/2025/the-cosmopolitan-of-las-vegas-las-vegas-nv-734c32dd.html
