event_id,event_date,artist_name,artist_mbid,artist_sort_name,tour_name,venue_name,venue_id,city_name,state,state_code,country_name,country_code,lat,lng,song_count,songs,setlist_url
5b4d13bc,2025-12-31,TRENCHRAID,6c80728c-d4f9-49ac-aad1-2b72bcd2e52f,TRENCHRAID,,The Cobalt,6bd7baf2,Vancouver,British Columbia,BC,Canada,CA,49.249657393,-123.119340403,0,,https://www.setlist.fm/setlist/trenchraid/2025/the-cobalt-vancouver-bc-canada-5b4d13bc.html
534d13bd,2025-12-31,Krash,f2191398-8df4-4eff-8dbb-209719783697,Krash,,The Cobalt,6bd7baf2,Vancouver,British Columbia,BC,Canada,CA,49.249657393,-123.119340403,0,,https://www.setlist.fm/setlist/krash/2025/the-cobalt-vancouver-bc-canada-534d13bd.html
4b4d13b2,2025-12-31,Dispösal,009a4618-747a-42e1-b471-9d090f0f243d,Dispösal,,The Cobalt,6bd7baf2,Vancouver,British Columbia,BC,Canada,CA,49.249657393,-123.119340403,0,,https://www.setlist.fm/setlist/disposal/2025/the-cobalt-vancouver-bc-canada-4b4d13b2.html
4b4843e2,2025-12-31,Still Depths,3fe1c8bd-31e1-427d-a355-0baf51e6c296,Still Depths,,Green Auto,bd001a6,Vancouver,British Columbia,BC,Canada,CA,49.249657393,-123.119340403,1,,https://www.setlist.fm/setlist/still-depths/2025/green-auto-vancouver-bc-canada-4b4843e2.html
3b4a34f8,2025-12-31,Jocelyn Stewart,53f12ad2-6089-4eba-9c02-b441e9f05082,"Stewart, Jocelyn",,Abbotsford Arts Centre,5bd0c700,Abbotsford,British Columbia,BC,Canada,CA,49.049676125,-122.285871791,7,Niagara; PEI; The Lies Behind The Smiles; Wrong Kind Of Right; Everything Means Nothing; In the Water; Nine To Never,https://www.setlist.fm/setlist/jocelyn-stewart/2025/abbotsford-arts-centre-abbotsford-bc-canada-3b4a34f8.html
234a34fb,2025-12-31,Midnight In Saskatchewan,0fa551a1-6b3f-4cf8-aa13-98e59486f91d,Midnight In Saskatchewan,,Abbotsford Arts Centre,5bd0c700,Abbotsford,British Columbia,BC,Canada,CA,49.049676125,-122.285871791,7,Higher; Joyriding; Centauri; Glass Ceilings And Paper Dreams; With A Fiery Heart; Urban Symphony; Rebel Song,https://www.setlist.fm/setlist/midnight-in-saskatchewan/2025/abbotsford-arts-centre-abbotsford-bc-canada-234a34fb.html
6b4d22e6,2025-12-29,Youth Fountain,06aeaca5-c65b-46df-ac4d-fe8820ddcf8e,Youth Fountain,,Private Venue,7bd13a48,North Vancouver,British Columbia,BC,Canada,CA,49.31636194,-123.069341404,14,What Tomorrow Brings / Requiem; Tarnish; Complacent; Vertigo; Rose Coloured Glass; Gut Feeling; My Mental Health / Century; Rose Coloured Glass; Jinxed; Dark Grey; Peace Offering; Deadlocked; Worried; Speaking in Tongues,https://www.setlist.fm/setlist/youth-fountain/2025/private-venue-north-vancouver-bc-canada-6b4d22e6.html
5b4def0c,2025-12-20,Devin Townsend,93e8c41e-8e4f-4d08-bbf5-bc1a903b2423,"Townsend, Devin",,Private Venue,1bd2e168,Vancouver,British Columbia,BC,Canada,CA,49.249657393,-123.119340403,11,All I Want for Christmas Is You; Why?; Blue Christmas; Funeral; Ih-Ah!; Last Christmas; Feliz Navidad; A Night In Santa's Great Big Bag; Bring Him Home; Winter Wonderland; Lightworker,https://www.setlist.fm/setlist/devin-townsend/2025/private-venue-vancouver-bc-canada-5b4def0c.html
3435daf,2025-12-20,OsamaSon,35214d53-009b-45d9-8a00-6664325b9e2a,OsamaSon,Psykotic Tour,Vogue Theatre,bd62162,Vancouver,British Columbia,BC,Canada,CA,49.249657393,-123.119340403,12,Habits; Whats Happening; Addicted; Made Sum Plans; Function; Its A Party; Trenches; just score it; yea i kno; Inferno; She woke Up; Waffle House,https://www.setlist.fm/setlist/osamason/2025/vogue-theatre-vancouver-bc-canada-3435daf.html
7b4c6e5c,2025-12-19,Chris Lake,fca94d64-9ada-4264-9373-4158e2f7c7e7,"Lake, Chris",,PNE Forum,5bd6cba0,Vancouver,British Columbia,BC,Canada,CA,49.249657393,-123.119340403,0,,https://www.setlist.fm/setlist/chris-lake/2025/pne-forum-vancouver-bc-canada-7b4c6e5c.html
